username,password,paymentForm,billingForm,cardType,creditCard,expiryDate,billToFirstName,billToLastName,billAddress1,billAddress2,billCity,billState,billZip,billCountry
emily_wang,MyPass567,TRUE,TRUE,Visa,1.00E+15,19-Dec,Emily,Wang,654 Elm Street,Unit 14,Seattle,WA,98101,United States
mike_brown,BrownPass3,TRUE,TRUE,Visa,1.00E+15,19-Dec,Mike,Brown,987 Maple Drive,Unit 15,Denver,CO,80201,United States
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
